Rank,Score,Title,Genre,Synopsis
63,8.6,Gintama,"Animation, Action, Comedy","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can."
64,8.6,Shigatsu wa kimi no uso,"Animation, Drama, Music",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
65,8.6,Hunter x Hunter,"Animation, Action, Adventure","The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua."
66,8.6,Clannad: After Story,"Animation, Comedy, Drama",A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                See full summary »
67,8.6,Gekijouban Bishoujo Senshi Sailor Moon Eternal,"Animation, Action, Adventure","When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world."
68,8.6,Mo Dao Zu Shi,"Animation, Action, Adventure",Wei Wu Xian and Lan Wang Ji meet during a magical training and start working together to solve many mysteries.
69,8.6,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Animation, Action, Adventure","In the era of Japan's Meiji Restoration, an assassin regains his humanity."
70,8.6,Ping Pong the Animation,"Animation, Drama, Sport",Five ping pong prodigies learn to navigate the harsh climate of competitive sport and the even more frightening realm of self realization.
71,8.6,InuYasha: Kanketsu-hen,"Animation, Action, Adventure","InuYasha's story draws to a close but not before finding Naraku and the Sacred Jewel, and facing new enemies and new dangers."
72,8.6,Chôjikû Yôsai Macross,"Animation, Action, Adventure",An alien spaceship crash lands on Earth and her secrets lead to a desperate war against an alien enemy sent to retrieve the ship.
73,8.6,Gurimu meisaku gekijou,"Animation, Family, Fantasy",An animated series retelling a different folk or fairy tale in each episode.
74,8.6,Tales of Symphonia,"Action, Adventure, Drama","Lloyd Irving and his childhood friend Colette are destined to go on a journey to save the world of Sylvarant, but doing so may endanger Tethe'alla, a world parallel to theirs."
75,8.6,Romio no aoi sora,"Drama, Animation","the story about the boy Romeo, who was living with his family in a small village in Switzerland and then decide to lease himself to his need for money after the crowman burn their farm for ...                See full summary »"
76,8.6,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,Animation,When the five visit a private academy Kazama is attacked. He is left with reduced intelligence and strange bite marks.
77,8.6,Ninja Senshi Tobikage,"Animation, Action, Adventure","Ninja Senshi Tobikage tells the story of a boy named Joe Maya. One day, Joe, who lives on Mars, witnesses a battle between aliens."
78,8.6,Knights of the Zodiac,"Animation, Action, Adventure","Several warriors known as 'Saints' have in their possessions a unique cloth, must protect a goddess as she tries to keep Earth from being destroyed, in this censored version of 'Saint Seiya'."
79,8.6,Drawfee,"Animation, Comedy","The Drawfee Channel is a comedic Let's-Draw Youtube channel headed by H. Caldwell Tanner and Nathan Yaffe of CollegeHumor, with guests from the CollegeHumor and Dorkly offices."
80,8.6,Bosco daiboken,"Animation, Action, Adventure","The story is about a young elvish Princess Apricot whose mission is to return to her home - Fountain land, occupied by evil forces of a monster called Scorpion, before the total eclipse of ...                See full summary »"
81,8.6,"Homestarrunner.com: Everything Else, Volume 1","Animation, Comedy","A collection of all the short toons on homestarrunner.com, including the then-complete Marzipan's Answering Machine and Teen Girl Squad series."
82,8.6,Ghost in the Shell: Production Report,"Documentary, Short","A behind the scenes look at the making of the 1995 classic anime, Ghost in the Shell."
83,8.6,Toonami: Advanced Robotics,"Short, Music","An anime music video from Toonami for it's song, 'Ignition'."
84,8.5,Boku no hîrô akademia,"Animation, Action, Adventure",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
85,8.5,Yakusoku no Neverland,"Animation, Adventure, Drama","When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
86,8.5,Hotaru no haka,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.
87,8.5,Fruits Basket,"Animation, Comedy, Drama","After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations."
88,8.5,Tokyo Revengers,"Animation, Action, Drama","A middle-aged loser travels in time to his school years and in order to save the love of his life from future doom, he must become the leader of a dreaded school gang."
89,8.5,Shin seiki evangerion,"Animation, Action, Drama",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
90,8.5,Boku dake ga inai machi,"Animation, Drama, Fantasy","29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
91,8.5,Mob Psycho 100,"Animation, Action, Comedy","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
92,8.5,Violet Evergarden,"Animation, Drama, Fantasy","In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
93,8.5,Hagane no renkinjutsushi,"Animation, Action, Adventure","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone."
94,8.5,Samurai chanpurû,"Animation, Action, Adventure","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
95,8.5,Dragon Ball: Doragon bôru,"Animation, Action, Adventure","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
96,8.5,Dragon Ball,"Animation, Action, Adventure","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
97,8.5,Rurôni Kenshin - Meiji kenkaku romantan,"Animation, Action, Adventure",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.
98,8.5,GTO,"Animation, Comedy, Drama","About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever."
99,8.5,Kôkaku kidôtai: Stand Alone Complex,"Animation, Action, Crime",The futuristic adventures of a female cyborg counter intelligence agent and her support team.
100,8.5,Yojôhan shinwa taikei,"Animation, Comedy, Drama","When a nameless student at Kyoto University encounters a demigod one night, he asks to relive the past three years in order to win the heart of Ms. Akashi, the object of his affection."
101,8.5,Mushishi,"Animation, Drama, Fantasy","Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems."
102,8.5,Monogatari Series: Second Season,"Animation, Adventure, Comedy","Walking to school one day Tsubasa Hanekawa encounters a huge white tiger apparition at a crossroads that talks to her. The next day her house burns down. Homeless, and not wanting to stay ...                See full summary »"
103,8.5,Seinto Seiya,"Animation, Action, Adventure","A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces."
104,8.5,Robotech,"Animation, Action, Adventure",An alien spaceship crash lands on Earth and the technology and secrets she bears lead Earth into three destructive interplanetary wars.
105,8.5,Hellsing Ultimate Abridged,"Animation, Action, Comedy","A comical abridged version of ""Hellsing Ultimate (2006)"" with amusing parody dubbing."
106,8.5,Fog Hill of Five Elements,Animation,"A legend tells that a long time ago, monsters could give the ability to certain elected officials to master the five elements. But for that, you have to go through the dangerous foggy ...                See full summary »"
107,8.5,Saint Seiya: The Hades Chapter,"Animation, Action, Adventure","Hades is planning to take over the world, to achieve that goal, he sends out deceased Gold Saints to take Athena's head. Seiya and the other Bronze Saints come to help but their help isn't ...                See full summary »"
108,8.5,Space Cobra,"Animation, Action, Adventure","In the 24th Century, space adventurer Cobra, charismatic vagabond with mysterious past and a powerful ""psychogun"" for a hand, fights diabolical crime syndicate known as the Galactic Guild with the help of his android friend Lady Armaroid."
109,8.5,Hunter X Hunter: Greed Island Final,"Animation, Short, Adventure","In order to survive on the island, Gon and Killua train furiously under the guidance of Biscuit. With their new abilities they are ready to continue the game and tackle on dangerous game ...                See full summary »"
110,8.5,Hunter x Hunter: Greed Island,"Animation, Short, Action","Gon is hoping to get more clues about the location of his father Ging and his friend Killua had joined his adventure. After finding a way to enter the game Greed Island, Gon and Killua are staring a new adventure."
111,8.5,Princess Principal Crown Handler: Chapter 1,"Animation, Action, Adventure","In London at the end of the 19th century and after the events of Princess Principal (2017). The Empire is increasing counter-spy actions in the wake of the incident, and finds Control, the ...                See full summary »"
112,8.5,Cowboy Bebop: The Movie - Featurettes,"Documentary, Short",A series of interviews included on the US and Europe DVD releases of 'Cowboy Bebop: The Movie'.
113,8.5,Shin Chan,"Animation, Comedy",English language version based on the Japanese series Kureyon Shinchan (1992) following the adventures of a 5 year old boy named Shin. This IMDB entry is for the LUK Internacional Spanish/Chinese English dub.
114,8.5,Kapeta,"Animation, Sport","One day capeta's father brought junk parts home from his workplace and made a racing cart. However, Capeta found that its frame was bent and it could hardly run straight. But, with his technique he managed the cart."
115,8.5,Madonna: Drowned World Tour 2001,"Documentary, Music",A video concert showing Madonna's Drowned World Tour in 2001.
116,8.5,Chûzumô,"Animation, Short, Comedy","It tells the story of an old man and his wife who help out some mice who engage in sumo. As a reward, one of the mice gives them enough gold on which to live for the rest of their lives."
117,8.5,Clémentine,"Animation, Adventure, Drama","The teen daughter of an air combat pilot travels around the world to find the cure for her injury, due to which she cannot walk but seeing precognitive dreams she can foretell the future only if she could deliver their meanings."
118,8.5,Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,"Adventure, Comedy, Fantasy","When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things aren't looking good for the ...                See full summary »"
119,8.5,Iga-no Kabamaru,"Animation, Action, Adventure",A young ninja who has lived in the country comes to the big city for the first time.
120,8.5,Daigundâ,"Animation, Adventure, Fantasy","This show is about a tournament of Battle Robots who are shaped like humans and transforming animals. If the damage taken off your team HP hits 0, you lose. If you interfere or cause a ...                See full summary »"
121,8.5,Uchûsen Sajitteriasu,"Animation, Sci-Fi",Add a Plot
122,8.5,Toshishun,"Animation, Adventure, Fantasy",A very young boy gets separated from his mother after a cruel warlord marries her. He grows up in poverty among the poor until he gets a chance to go after his wishes and find the deepest and the most worthy of them.
123,8.5,Zorori the Naughty Hero: The secret of ZZ,Adventure,Add a Plot
124,8.5,Tales of Destiny,"Adventure, Family, Fantasy",Add a Plot
125,8.4,Kimetsu no Yaiba: Mugen Ressha-Hen,"Animation, Action, Adventure","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
126,8.4,JoJo no kimyô-na bôken,"Animation, Action, Adventure","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
127,8.4,The Legend of Korra,"Animation, Action, Adventure",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
128,8.4,Kimi no na wa.,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
129,8.4,Mononoke-hime,"Animation, Action, Adventure","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
130,8.4,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,"Animation, Comedy, Romance",The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.
131,8.4,Dragon Ball Super: Doragon bôru cho,"Animation, Action, Adventure","Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
132,8.4,Mushoku-tensei ~Isekai ittara honki dasu~,"Animation, Adventure, Fantasy","A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure."
133,8.4,Dororo,"Animation, Action, Adventure","A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his."
134,8.4,Meitantei Conan,"Animation, Action, Adventure",The cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.
135,8.4,Made in Abyss,"Animation, Adventure, Drama","A girl and her robot companion search for her mother, who's lost within a vast chasm."
136,8.4,Yu yu hakusho,"Animation, Action, Adventure","One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                See full summary »"
137,8.4,Steins;Gate 0,"Animation, Drama, Mystery",Mad scientist Okabe struggles to recover from past failure and tests a new artificial intelligence
138,8.4,Given,"Animation, Drama, Music","The life and loves of the rock band Given, and the romantic relationships that develops between its members."
139,8.4,Nana,"Animation, Comedy, Drama","Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape."
140,8.4,Heaven Official's Blessing,Animation,"Eight hundred years ago, Xie Lian was the Crown Prince of the Xian Le kingdom. He was loved by his citizens and was considered the darling of the world. He ascended to the Heavens at a ...                See full summary »"
141,8.4,Initial D: First Stage,"Animation, Action, Comedy",The story of a young delivery boy who becomes a drift-racing legend.
142,8.4,Sangatsu no Lion,"Animation, Comedy, Drama","A 17 year old socially awkward orphaned shogi player, dealing with adult problems like financial difficulties, loneliness, and depression."
143,8.4,Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,"Animation, Action, Fantasy","Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are...                See full summary »"
144,8.4,Star Blazers,"Animation, Action, Adventure","In the year 2199, a starship must make a dangerous voyage to the distant planet Iscandar and back to save Earth from an alien invasion."
145,8.4,Swat Kats: The Radical Squadron,"Animation, Action, Family","In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes."
146,8.4,Kaze ga tsuyoku fuiteiru,"Animation, Comedy, Sport","Kakeru, a former elite runner at high school, is chased for stealing food. He is saved by a Kansei University student Haiji, who is also a runner. Haiji persuades Kakeru to live in the old ...                See full summary »"
147,8.4,Shôwa Genroku rakugo shinjû,"Animation, Comedy, Drama","Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of Rakugo, a traditional Japanese form of comedic storytelling."
148,8.4,Kino no tabi,"Animation, Adventure, Drama","Young world-weary sharpshooter girl Kino and her talking inquisitive motorcycle Hermes travel around her unusual world, visiting various city-states for three days each to learn about their culture, history and ruling philosophy."
149,8.4,Rilakkuma to Kaorusan,"Animation, Comedy, Drama","Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear."
150,8.4,Akatsuki no Yona OVA,"Animation, Action, Comedy","Princess Yona and her companions, including the four legendary dragons, continue traveling. Adventures await, as well as shocking discoveries about each others' pasts."
151,8.4,Initial D: Fourth Stage,"Animation, Action, Sport","Takumi Fujiwara continues his undefeated racing streak, touring the mountain passes of Japan with rival driver Keisuke Takahashi as a part of ex-racer Ryosuke Takahashi's racing team: ""Project D""."
152,8.4,Kôkaku kidôtai: S.A.C. 2nd GIG - Individual eleven,"Animation, Action, Drama",A new terrorist organization known as the Individual Eleven is bent on mass destruction. Will the cyborg detective heroine and her elite anti-crime unit be able to stop them?
153,8.4,Takarajima,"Animation, Action, Adventure","Jim Hawkins, a thirteen-year-old boy in the eighteenth century, runs the Admiral Benbow Inn with his mother since his father died. The plots starts when a drunken sailor decides to stay in the hotel."
154,8.4,Teiruzu obu Vesuperia,"Action, Adventure, Comedy","A former Imperial soldier is thrown in jail and forms a guild called Brave Vesperia to aid Estelle, a noble woman he encountered while escaping."
155,8.4,Ginga Eiyû Densetsu Gaiden,"Animation, Action, Drama",Two military strategic geniuses battle each other in the backdrop of a centuries long galactic civil war.
156,8.4,SF Saiyûki Starzinger,"Animation, Comedy, Sci-Fi","Princess Aurora and 3 male companions must travel across the universe to reach the Great Planet and restore its cosmic energy. Based on the ancient book Saiyuki, also known as Journey to the West."
157,8.4,My Other Me: A Film About Cosplayers,"Documentary, Drama",Teens and young adults discovering their true identities while dressing up as fictional characters.
158,8.4,Otakus,"Short, Action, Comedy",Two fans about Japan animation fight against each other to demonstrate who knows best about it.
159,8.4,Epica Stella,"Action, Adventure, Fantasy",A young man and his team are thrust into dangerous war by the evil General Faulkner and his minions.
160,8.4,Dragon Force,NA,Add a Plot
161,8.3,Naruto,"Animation, Action, Adventure","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
162,8.3,Black Clover,"Animation, Action, Adventure","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus."
163,8.3,Kuroko no basuke,"Animation, Comedy, Sport","The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was ...                See full summary »"
164,8.3,Kiseijû: Sei no kakuritsu,"Animation, Action, Horror","17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person."
